北京联通,#genre#
BRTV北京卫视,http://114.243.100.206:8821/rtp/239.3.1.241:8000
BRTV文艺,http://114.243.100.206:8821/rtp/239.3.1.242:8000
BRTV科教,http://114.243.100.206:8821/rtp/239.3.1.115:8000
BRTV影视,http://114.243.100.206:8821/rtp/239.3.1.158:8000
BRTV生活,http://114.243.100.206:8821/rtp/239.3.1.117:8000
BRTV财经,http://114.243.100.206:8821/rtp/239.3.1.116:8000
BRTV新闻,http://114.243.100.206:8821/rtp/239.3.1.159:8000
BRTV卡酷动画,http://114.243.100.206:8821/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.243.100.206:8821/rtp/239.3.1.243:8000
BRTV国际频道,http://114.243.100.206:8821/rtp/239.3.1.235:8000
BRTV北京卫视,http://114.243.101.119:8821/rtp/239.3.1.241:8000
BRTV文艺,http://114.243.101.119:8821/rtp/239.3.1.242:8000
BRTV科教,http://114.243.101.119:8821/rtp/239.3.1.115:8000
BRTV影视,http://114.243.101.119:8821/rtp/239.3.1.158:8000
BRTV生活,http://114.243.101.119:8821/rtp/239.3.1.117:8000
BRTV财经,http://114.243.101.119:8821/rtp/239.3.1.116:8000
BRTV新闻,http://114.243.101.119:8821/rtp/239.3.1.159:8000
BRTV卡酷动画,http://114.243.101.119:8821/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.243.101.119:8821/rtp/239.3.1.243:8000
BRTV国际频道,http://114.243.101.119:8821/rtp/239.3.1.235:8000
BRTV北京卫视,http://114.243.110.92:8821/rtp/239.3.1.241:8000
BRTV文艺,http://114.243.110.92:8821/rtp/239.3.1.242:8000
BRTV科教,http://114.243.110.92:8821/rtp/239.3.1.115:8000
BRTV影视,http://114.243.110.92:8821/rtp/239.3.1.158:8000
BRTV生活,http://114.243.110.92:8821/rtp/239.3.1.117:8000
BRTV财经,http://114.243.110.92:8821/rtp/239.3.1.116:8000
BRTV新闻,http://114.243.110.92:8821/rtp/239.3.1.159:8000
BRTV卡酷动画,http://114.243.110.92:8821/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.243.110.92:8821/rtp/239.3.1.243:8000
BRTV国际频道,http://114.243.110.92:8821/rtp/239.3.1.235:8000
BRTV北京卫视,http://114.243.109.68:8821/rtp/239.3.1.241:8000
BRTV文艺,http://114.243.109.68:8821/rtp/239.3.1.242:8000
BRTV科教,http://114.243.109.68:8821/rtp/239.3.1.115:8000
BRTV影视,http://114.243.109.68:8821/rtp/239.3.1.158:8000
BRTV生活,http://114.243.109.68:8821/rtp/239.3.1.117:8000
BRTV财经,http://114.243.109.68:8821/rtp/239.3.1.116:8000
BRTV新闻,http://114.243.109.68:8821/rtp/239.3.1.159:8000
BRTV卡酷动画,http://114.243.109.68:8821/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.243.109.68:8821/rtp/239.3.1.243:8000
BRTV国际频道,http://114.243.109.68:8821/rtp/239.3.1.235:8000
BRTV北京卫视,http://114.243.110.192:8821/rtp/239.3.1.241:8000
BRTV文艺,http://114.243.110.192:8821/rtp/239.3.1.242:8000
BRTV科教,http://114.243.110.192:8821/rtp/239.3.1.115:8000
BRTV影视,http://114.243.110.192:8821/rtp/239.3.1.158:8000
BRTV生活,http://114.243.110.192:8821/rtp/239.3.1.117:8000
BRTV财经,http://114.243.110.192:8821/rtp/239.3.1.116:8000
BRTV新闻,http://114.243.110.192:8821/rtp/239.3.1.159:8000
BRTV卡酷动画,http://114.243.110.192:8821/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.243.110.192:8821/rtp/239.3.1.243:8000
BRTV国际频道,http://114.243.110.192:8821/rtp/239.3.1.235:8000
